zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
2,1764351484.7274206,PALM,PALM,2,1439,1388
2,1764351485.2307565,PALM,PALM,2,1367,1428
2,1764351485.7358902,PALM,PALM,2,1278,1458
2,1764351486.237013,PALM,PALM,2,1235,1471
2,1764351486.7374864,PALM,PALM,2,1187,1485
2,1764351487.2470534,PALM,PALM,2,1093,1461
2,1764351487.7534482,PALM,PALM,2,1000,1434
2,1764351488.2683752,PALM,PALM,2,942,1417
2,1764351488.7998319,PALM,PALM,2,877,1378
2,1764351489.3214812,PALM,PALM,2,868,1289
2,1764351489.841118,PALM,PALM,2,888,1248
2,1764351490.3512394,PALM,PALM,2,931,1203
2,1764351490.853317,PALM,PALM,2,979,1194
2,1764351491.371855,PALM,PALM,2,1046,1207
2,1764351491.8781662,PALM,PALM,2,1124,1230
2,1764351492.3847167,PALM,PALM,2,1159,1249
2,1764351492.9021378,PALM,PALM,2,1215,1261
2,1764351493.4117963,PALM,PALM,2,1278,1282
2,1764351493.920306,PALM,PALM,2,1346,1284
2,1764351494.4207869,PALM,PALM,2,1407,1285
2,1764351494.9212759,PALM,PALM,2,1432,1310
2,1764351495.4415228,PALM,PALM,2,1470,1357
2,1764351495.959769,PALM,PALM,2,1479,1372
2,1764351496.467588,PALM,PALM,2,1454,1373
2,1764351496.9846833,PALM,PALM,2,1468,1391
2,1764351497.4892356,PALM,PALM,2,1416,1396
2,1764351498.0061908,PALM,PALM,2,1329,1332
2,1764351498.5111823,PALM,PALM,2,1331,1355
2,1764351499.0132282,PALM,PALM,2,1248,1280
2,1764351499.5200129,PALM,PALM,2,1145,1263
2,1764351500.0286937,PALM,PALM,2,1075,1278
2,1764351500.545999,PALM,PALM,2,1029,1315
2,1764351501.049345,PALM,PALM,2,1021,1322
2,1764351501.5642076,PALM,PALM,2,1088,1247
2,1764351502.068426,PALM,PALM,2,1252,1312
2,1764351502.5700586,PALM,PALM,2,1284,1363
2,1764351503.072968,PALM,PALM,2,1301,1413
2,1764351503.584332,PALM,PALM,2,1291,1369
2,1764351504.1021707,PALM,PALM,2,1240,1328
2,1764351510.5730407,,FIST,6,,
2,1764351511.0755026,FIST,FIST,3,1301,1245
2,1764351511.6011496,FIST,FIST,3,1278,1242
2,1764351512.1189723,FIST,FIST,3,1285,1244
2,1764351512.630558,FIST,FIST,3,1280,1253
2,1764351513.138933,FIST,FIST,3,1267,1256
2,1764351513.645657,FIST,FIST,3,1245,1283
2,1764351514.1468396,FIST,FIST,3,1231,1352
2,1764351514.663591,FIST,FIST,3,1236,1351
2,1764351515.1867428,FIST,FIST,3,1184,1305
2,1764351515.6976016,FIST,FIST,3,1093,1265
2,1764351516.212244,FIST,FIST,3,1029,1224
2,1764351516.7291849,FIST,FIST,3,933,1199
2,1764351517.2420146,FIST,FIST,3,881,1173
2,1764351517.7598042,FIST,FIST,3,849,1216
2,1764351518.2607772,FIST,FIST,3,858,1274
